SG latest contacted,Response?,,,,,,,,,,,,,,,,,,,
,,Aston Capital Management,"New York, New York",2013,11-50 ,Aston Capital is structured as a quantitative hedge fund and is focused on the innovation and implementation of creative trading strategies applied across multiple assets classes and the financial products within those classes.,,Israel Klein,40-45,6.75,https://www.linkedin.com/in/israelklein/,,,Isaac Lieberman,50-60,6.75,https://www.linkedin.com/in/isaac-lieberman-51495b139/,,,
8/17,,Axoni,New York,2015,51-200,Axoni is a New York-based technology firm that specializes in blockchain infrastructure whose clients include many of the world’s largest financial institutions and capital markets infrastructure companies.,"Workflow automation, Data privacy, Blockchain i Distributed ledger technology",Jeffrey Schvey,35-40,4.5,https://www.linkedin.com/in/jeffschvey/,,,Greg S.,30-35,4.5,https://www.linkedin.com/in/gschvey/,,,
,,Axoni,New York,2015,51-200,Axoni is a New York-based technology firm that specializes in blockchain infrastructure whose clients include many of the world’s largest financial institutions and capital markets infrastructure companies.,"Workflow automation, Data privacy, Blockchain i Distributed ledger technology",Jeffrey Schvey,35-40,4.3,https://www.linkedin.com/in/jeffschvey/,,,Greg Schvey,35-40,4.3,https://www.linkedin.com/in/gschvey/,,,
9/27,,Bestmile,San Francisco,2014,51-100,"cloud platform for mobility providers to deploy, manage and optimize AV and human-driven vehicle fleets","AI, ML, Transportation, Automotive",Marco Laumanns,45-50,1.5,https://www.linkedin.com/in/marco-laumanns-177618b2/,,,Raphael Gindrat,30-35,6.3,https://www.linkedin.com/in/rgindrat/,,,
,,Bestmile,"San Francisco, California",2014,51-200,"Bestmile empowers mobility providers to deploy, manage and optimize autonomous and conventional driven vehicle fleets. Bestmile’s cloud platform enables the intelligent operation and optimization of autonomous mobility services, managing fixed-route and on-demand services, regardless of the vehicle brand or type. ","Software, Driverless mobility, Cloud , Autonomous Mobility services i Smart Mobility",Marco Laumanns,45-50,1.5,https://www.linkedin.com/in/marco-laumanns-177618b2/,,,Raphael Gindrat,30-35,6,https://www.linkedin.com/in/rgindrat/,,,
9/27,,Better Cloud,"New York, NY",2011,201-500,"BetterCloud is the first SaaS Operations Management platform, empowering IT to define, remediate, and enforce management and security policies for SaaS applications. ","Google Apps, Enterprise SaaS Application, Cloud Technology, Cloud Security, Google Apps Management, Google Drive Security, Cloud Management, Office 365, G Suite, Salesforce, Zendesk, Dropbox, Confluence, JIRA Software, JIRA Service Desk, Namely i Slack",Felipe Murillo,35-40,1.25,https://www.linkedin.com/in/felipe-murillo-61166519/,,,David Politis,35-40,8.5,https://www.linkedin.com/in/davidpolitis/,,,
9/27,,Better Cloud,"New York, NY",2011,201-500 ,"BetterCloud is the first SaaS Operations Management platform, empowering IT to define, remediate, and enforce management and security policies for SaaS applications.","Google Apps, Enterprise SaaS Application, Cloud Technology, Cloud Security, Google Apps Management, Google Drive Security, Cloud Management, Office 365, G Suite, Salesforce, Zendesk, Dropbox, Confluence, JIRA Software, JIRA Service Desk, Namely i Slack",Andra Milender (a nie ona?),50-55,0.75,https://www.linkedin.com/in/andra-milender-81a73615/,,,David Politis,35-40,8.5,https://www.linkedin.com/in/davidpolitis/,"powtórka firmy z pozycji 39, ale inny CTO",,
9/27,,BigCommerce,"Austin, Texas",2009,501-1000,BigCommerce is the world’s leading cloud ecommerce platform for established and rapidly-growing businesses.,"E-Commerce Software, Shopping Cart Software, Hosted Ecommerce Solution, Internet Marketing i SaaS",Brian Dhatt,45-50,3.5,https://www.linkedin.com/in/briandhatt/,,,Brent Bellm,50,5,https://www.linkedin.com/in/brent-bellm-3b305214/,,,
9/19,,Boats Group,Miami ,2011,201-500,Boats Group shares one purpose: making it easy for people to buy and sell boats. We connect millions of people with the world’s largest selection of boats and sellers. ,,Sam Peterson,45-50,3.5,https://www.linkedin.com/in/sam-peterson-7119161/,,,Sam Fulton,40-45,3.75,https://www.linkedin.com/in/samfulton/,,,
,,BoligPortal,"Aarhus, Midtjylland",1999,11-50,,,Steffen Harbom Rudkjøbing,35-40,0.75,https://www.linkedin.com/in/rudkj/,,,Anders Hyldborg,40-45,3.75,https://www.linkedin.com/in/andershyldborg/,,,
9/28,,Bread,New York,2014,51-200 ,"Bread is transforming retail by building powerful financing tools that help retailers increase sales. Bread gives retailers the ability to let their customers pay over time for the things they need, on their terms. ","consumer finance, technology, purchase finance, e-commerce i retail",Edward Cudahy,45-50,0.65,https://www.linkedin.com/in/edwardcudahy/,,,Josh Abramowitz,50-55,7,https://www.linkedin.com/in/joshabramowitz/,,,
,,Calm,"San Francisco, California",2012,51-200,"Calm is a leading global health and wellness brand with the #1 app for sleep, meditation and relaxation.","Meditation & Relaxation, Sleep, Health & Wellness i Mindfullness",Will Larson,35-40,0.3,https://www.linkedin.com/in/will-larson-a44b543/,https://github.com/lethain,,Alex Tew,30-35,8,https://www.linkedin.com/in/alextew/,,,
,,Chartboost,"San Francisco, California",2011,51-200,Chartboost empowers app developers to earn advertising revenue while connecting advertisers to highly engaged audiences. ,"Monetization & User Acquisition for Mobile Games, Analytics i In-App Programmatic Advertising",Sean Fannan,35-40,9.25,https://www.linkedin.com/in/fannan/,https://github.com/fannan,,Pepe Agell,35-40,1.5,https://www.linkedin.com/in/joseluisagell/,"jest dwóch CEO, dodaję drugiego poniżej :)",,
9/27,9/27,CipherTrace,"Menlo Park, California",2015,11-50,"CipherTrace develops cryptocurrency Anti-Money Laundering, cryptocurrency forensics, and blockchain threat intelligence solutions. ","Blockchain, Bitcoin, Cryptocurrency, crypto currency, Ethereum, crypto, forensics, AML, Anti Money Laundering i machine learning",Shannon Holland,50-55,4.75,https://www.linkedin.com/in/shannon-holland-477156/,,,David Jevans,50-55,3,https://www.linkedin.com/in/davidajevans/,,,
,,Cisco,"San Jose, CA",1984,10 001+,"Cisco (NASDAQ: CSCO) enables people to make powerful connections--whether in business, education, philanthropy, or creativity. Cisco hardware, software, and service offerings are used to create the Internet solutions that make networks possible--providing easy access to information anywhere, at any time.","Networking, Wireless, Security, Unified Communication, Cloud, Collaboration, Data Center, Virtualization i Unified Computing Systems",Ryan Plant,40-45,2,https://www.linkedin.com/in/plantr/,,,Dave Neben,,,https://www.linkedin.com/in/dave-neben-8b254b5/,,,
8/30,9/26,Cityblock Health,"Brooklyn, New York",2017,201-500,"Cityblock was founded in 2017 as the first tech-driven provider for communities with complex needs. We deliver better care to where it’s needed most, investing upstream in highly personalized, prevention-oriented health and social care to ultimately drive down costs and improve outcomes.",,Lon Binder,50-55,0.5,https://www.linkedin.com/in/lonbinder/,https://github.com/lonbinder,,Iyah Romm,35-40,3,https://www.linkedin.com/in/iyah-romm-b322ab51/,,,
9/27,9/27,Clearcover,"Chicago, IL",2016,51-200,Clearcover’s API-first approach enables customers to have great insurance at affordable rates.,insurance ,Matt Dressel,45-50,2,https://www.linkedin.com/in/matt-dressel/,https://github.com/dresselm,,Kyle Nakatsuji,35-40,3.5,https://www.linkedin.com/in/kylenakatsuji/,,,
,,Codeily,London,,1,"offer fully scalable, demo-able, customised private blockchain and machine learning pipelines created by our team of experts and delivered to you iteratively and with the highest production quality standards.",,Lukasz Tymoszczuk,30-35,6,https://www.linkedin.com/in/lukastymo/,,,jednoosobowa firma,,,,,,
,,CommoChain,"Plan-les-Ouates, Geneva",2018,2-10,"CommoChain is a Swiss FinTech/CommoTech company based in Geneva. We help companies involved in the international trade of raw materials to increase operational efficiency now and in the future with our Trade Execution Assistant, developed by commodity sector experts.","commodity, commotech, fintech, tradetech, international trade i digital transformation",Anthony Dupre,45-50,1.75,https://www.linkedin.com/in/anthonydupre/,,,<- chyba ten sam,,,,,,
9/27,9/27,Conductor Inc,"New York, NY",2008,201-500,Conductor is a search and content intelligence platform that helps marketers create and optimize content to improve visibility online.,"Content Intelligence, SAAS, SEO, Search Marketing i content marketing",Matthew Giresi,35-40,0.25,https://www.linkedin.com/in/matthew-giresi/,,,Seth Besmertnik,35-40,12,https://www.linkedin.com/in/besmertnik/,,,
,,Credit Karma,"San Francisco, CA",2007,1001-5000 ,"Credit Karma is focused on championing financial progress for over 100 million members in the U.S., Canada and U.K. While we're best known for pioneering free credit scores, our members turn to us for resources as they work toward their financial goals. This includes tools for credit and identity monitoring, searching for credit cards, shopping for loans (car, home and personal), growing their savings* and filing their taxes with Credit Karma Tax -- all for free.",,Ryan Graciano,35-40,13,https://www.linkedin.com/in/graciano/,https://github.com/rgraciano,,Kenneth Lin,40-45,13,https://www.linkedin.com/in/kennethjlin/,,,
9/28,,CrunchTime!,"Boston, MA",1995,51-200,CrunchTime is the gold-standard operations management platform for the foodservice industry. ,"Food and Labor Cost Control, Restaurant Back Office Systems, Supply Chain Management, Labor Management, Inventory Management, SaaS, Restaurant Technology, Operations, Software, Platform, Software Platform, Food and Beverage, Labor Scheduling, Food Safety, Accounting, Point of Sale, Integrations i Payroll",Glenn Osborne,55-60,1,https://www.linkedin.com/in/glennosborne/,,,David Daugherty,55-60,11,https://www.linkedin.com/in/david-daugherty-bb731272/,,,
9/28,,data Dog,"New York, NY",2010,1001-5000,"Datadog is the essential monitoring platform for cloud applications. We bring together data from servers, containers, databases, and third-party services to make your stack entirely observable. ","SaaS, APM, Software, Log Management, Cloud, DevOps, Monitoring, Infrastructure, Distributed Systems, Cloud Computing, Open-source i Golang",Alexis L.,40-45,4,https://www.linkedin.com/in/alexislequoc/,,,Olivier Pomel,35-40,12,https://www.linkedin.com/in/olivierpomel/,,,
9/27,,dataminr,"New York, NY",2009,201-500,"a mission-driven company committed to the power of AI, public data, and real-time information as a force for good in the world. Over the last decade, our team has established and refined the leading AI platform for real-time event and risk detection. ",,Jeffrey Kinsey,40-45,11,https://www.linkedin.com/in/jeffrey-kinsey-33765717/,,,Ted Bailey,40-45,11,https://www.linkedin.com/in/ted-bailey-11b3492/,,,
,,DigiU,,,,"We create various AI services(CV, NLP -based e.t.c) using BigData and machine learning models (from tabular to neurons with deep learning).",,Peter Tagunov,35-40,0.5,https://www.linkedin.com/in/peter-tagunov-java,,,,,,,,,
9/28,,Double Verify,New York,2008,201-500 ,"DV is powering the new standard of marketing performance, giving advertisers clarity and confidence in their digital investment.","Impression Quality and Audience Quality Solutions for Brand Marketers, Ad Viewability, Ad Prominence, Impression Delivery, Transparency and Accountability to Digital Media i Brand Safety and Fraud Protection",Nisim Tal,35-40,3.5,https://www.linkedin.com/in/nisimtal/,,,Wayne Gattinella,45-50,8,https://www.linkedin.com/in/wayne-gattinella-61a7b410/,,,
9/28,,Duolingo,"Pittsburgh, PA",2011,500,,"Language Education, Language Certification, Mobile App Development, Language Proficiency Assessment, Machine Learning, product design i software engineering",Severin Hacker,35,8.5,https://www.linkedin.com/in/severinhacker/,https://github.com/severinhacker,,Luis von Ahn,40-45,9,https://www.linkedin.com/in/luis-von-ahn-4567065/,,,
9/28,,Eero,"San Francisco, California",2014,150,"eero is the world’s best-reviewed home WiFi system. eeros — and new eero Beacons — wirelessly connect to blanket your home in fast, reliable WiFi.",,Amos Schallich,30-35,6,https://www.linkedin.com/in/schallich/,,,Nick Weaver,31,6,https://www.linkedin.com/in/nsweaver/,,,
9/28,,Epic Games,"Cary, NC",1991,3000+,"Epic’s award-winning Unreal Engine technology not only provides game developers the ability to build high-fidelity, interactive experiences for PC, console, mobile, and VR, it is also a tool being embraced by content creators across a variety of industries such as media and entertainment, automotive, and architectural design.","games, game engine, game technology, Unreal Engine, Fortnite, PC, PS3, Xbox, mobile game engine, iOS, Android, PS Vita, Wii U, Unreal Tournament, XBLA, PSN, Steam, next-gen, Paragon i SPYJiNX",Kim Libreri,50-55,6,https://www.linkedin.com/in/kim-libreri-790a716/,,,Tim Sweeney,50,19,,,,
9/28,,Evernote,"Redwood City, California",2008,201-500,Evernote helps you regain control of your day so you can focus on what matters most.,"Software, Mobile, Android, Mac, IOS, Productivity, App, Workspace, Business, Collect, Find, Present i Write",Richard Tarnastin,,,"nie mogę wejść na profil tych osób, bo nie mam ich w sieci. ten podany jako CTO nie jest prawdziwym CTO ",,,,,,,,,
9/28,,EverString,"San Mateo, CA",2012,51-200,"EverString’s AI SaaS solution is designed for B2B sales and marketing professionals to drive pipeline growth, help close new customers, expand into new markets, prioritize accounts, and provide actionable insights – all without the need for an administrator.","Predictive Analytics, Lead Scoring, Demand Generation, Pipeline Acceleration, account based marketing i AI",Rakesh Gowda,40-45,2.5,https://www.linkedin.com/in/rgowda0/,,,Chao Wang,35-40,7.3,https://www.linkedin.com/in/chao-wang-82060939/,,,
9/28,,Evident ID,"Atlanta, Georgia",2016,51-200,"With connections to thousands of authoritative sources through a single API, Evident is the only platform that enables comprehensive, accurate and up to date identity and credential verifications without the risk and liability of holding personal information.","Cybersecurity, Trust, identity, identity verification i personal data security",Damian Starosielsky,40-50,4,https://www.linkedin.com/in/damian-starosielsky-38a7a99/,,,David Thomas,40-45,4.5,https://www.linkedin.com/in/david-thomas-7397381/,,,
,,Evolution Gaming,Riga,2006,5001-10 000,"Evolution is a world-leading B2B provider of video-streamed Live Casino, committed to deliver a unique user experience and revolutionary product innovation.","software development, IT services, Scala, JavaScript, Live video streaming, On-line gaming i Product innovation",David Craelius,40-45,4.5,https://www.linkedin.com/in/craelius/,,,Jens von Bahr,45-50,14,https://www.linkedin.com/in/jens-von-bahr-6ab3075/,,,
8/27,,Exabeam,"Foster City, California",2013,501-1000 ,Exabeam is the Smarter SIEMTM company. ,"SIEM, Big data security analytics, User Behavior Analytics, User Behavior Intelligence, Stateful user tracking, User and Entity Behavior Analytics, UEBA, SOC i Cybersecurity",Domingo Mihovilovic,55-60,7,https://www.linkedin.com/in/mihovilovic/,,,Nir Polak,35-40,7,https://www.linkedin.com/in/nir-polak-1564934/,,,
,,Factual,"Los Angeles, California",2008,51-200,"Factual is a location data company that helps marketers and their organizations use location to better understand, reach and engage consumers.","Location Data, Mobile,Technology",Boris Shimanovsky,45-50,12,https://www.linkedin.com/in/shimanovsky/,https://github.com/bfs,,Gil Elbaz,50-55,12,https://www.linkedin.com/in/gilelbaz/,,,
8/28,,Fauna,San Francisco,2011,11-50,designed to support modern application development in the Cloud.,"Databases, Ditributed Systems, Cloud DB",Matt Freels,30-35,8,https://www.linkedin.com/in/freels/,https://github.com/freels,,Evan Weaver,30-35,8,https://www.linkedin.com/in/freels/,,14.09.2021,
9/28,,Fevo,"New York, NY",2016,51-200,"FEVO is a white-label solution that lives within the brands it serves. As the customer is purchasing on your site the FEVO Social Cart opens seamlessly, so customers can share their favorite purchases, invite friends, and purchase together in just a few clicks. Your brand becomes a social experience and a space for people to connect and communities to form.",,Eric Chu,35-40,4.5,https://www.linkedin.com/in/fullstackonly/,,,Ari Daie,35-40,4,https://www.linkedin.com/in/arieldaie/,,,
9/28,,Forge,"San Francisco, CA",2012,11-50,"Forge unlocks the private markets for investors, shareholders, companies, and institutions. Learn more and forge your future at ForgeGlobal.com",secondary shares trading platform,Marco Della Torre,,0.75,https://www.linkedin.com/in/marcodellatorre/,,,Kim Lee,40-45,4,https://www.linkedin.com/in/kim-lee-4b98b3b7/,,,
9/28,,Formation,San Francisco,2015,51-100,,"Business Intelligence, Communications Infrastructure, Personalization",Thomas Jackson,30-35,3.5,https://www.linkedin.com/in/tommyjjackson/,https://github.com/jacksontj,,Christian Selchau - Hansen,40,4,https://www.linkedin.com/in/christian-selchau-hansen-267236/,,,
,,Formation,"San Francisco, CA",2015,51-200 ,"Formation empowers companies to achieve true 1:1 personalization at enterprise scale. We use artificial intelligence (AI) and machine learning (ML) to continue learning about customer preferences, analyzing their interactions and fine-tuning of offers across digital and physical channels",,Thomas Jackson,35-40,2.5,https://www.linkedin.com/in/tommyjjackson/,,,Jason Hickner,45-50,4,https://www.linkedin.com/in/jason-hickner-8696b411/,powtórka z pozycji 2 ,,
,,Gemini Solutions,"Palo Alto, California",2005,51-200,"Gemini Solutions provides web, cloud computing, mobile application development, enterprise software, consumer applications, wireless and infrastructure services","Software Development, Cloud Computing, Web Development, Mobile Application Development, Enterprise Software, Wireless and Infrastructure Services i Consumer Applications",Serban Tir,50-55,15.5,https://www.linkedin.com/in/serban-tir-b9aa832/,,,Theo Nissim,50-55,15,https://www.linkedin.com/in/theo-nissim-a10a/,,,
,,Get Smart Labs,"Los Gatos, CA ",2020,2-10,Workplace information discovery and sharing,"NLP, NLU, Graph Database i Python",Sanjay Mahadi,-,0.25,https://www.linkedin.com/in/sanjaymahadi/,,,Rich Rifredi,50-60,0.25,https://www.linkedin.com/in/rich-rifredi-934611/,,,
9/29,,Getaround,"San Francisco, California",2011,201-500,,"Carsharing, Mobility, Transportation i car rental",Elliot Kroo,35-40,11,https://www.linkedin.com/in/ellkro/,https://github.com/kroo,,Sam Zaid,45-50,10,https://www.linkedin.com/in/samzaid/,,,
9/29,,Grand Rounds,"San Francisco, CA",2011,501-1000,he Grand Rounds team goes above and beyond to connect and guide people to the highest quality healthcare available for themselves and their loved ones. ,"Healthcare Quality, Second Opinions, Employee Benefits, Clinical Navigation, Health Tech, Technology, Data Driven i Expert",Wade Chambers,50-55,2.3,https://www.linkedin.com/in/wadechambers/,,,Owen Tripp,45-50,7.5,https://www.linkedin.com/in/owenwtripp/,,,
9/29,,GridGain,"Foster City, California",2007,51-200,"GridGain® powers the digital enterprise with an in-memory computing platform built on Apache® Ignite that provides in-memory speed and massive scalability for data-intensive applications. It requires no rip-and-replace of existing databases and can be deployed on-premises, on a public or private cloud, or on a hybrid environment.","In-Memory Computing, In-Memory Data Grid, In-Memory Streaming, In-Memory Hadoop Acceleration, Apache Spark Acceleration, Apache Cassandra Acceleration i Apache Ignite",Nikita Ivanov,45-55,15,https://www.linkedin.com/in/nivanov/,https://github.com/nivanov,,Abe Kleinfeld,60-65,6.5,https://www.linkedin.com/in/abekleinfeld/,,,
9/29,,Heap,"San Francisco, California",2013,51-200," With Heap, organizations of all sizes can remove technical bottlenecks and gain a single comprehensive view of their customers. Our software automatically collects, organizes, analyzes, and connects customer data, so businesses can create more valuable products and experiences. ","mobile analytics, product analytics, web analytics i analytics",Dan Robinson,30-35,7,https://www.linkedin.com/in/dan-robinson-a6930726/,https://github.com/drob,,Matin Movassate,30-35,7.3,https://www.linkedin.com/in/matin-movassate-29494723/,,,
,,HIFI,"New York, NY",,11-50,Financial rights organization for the music industry. A community advocating for artist-centric innovation and transparency. A partner building technologies and services designed to financially empower its members.,"Machine Learning, Big Data, Music i FinTech",Silvino Barreiros,30-35,1,https://www.linkedin.com/in/silvinobarreiros/,,,Damian Manning,40-50,7,https://www.linkedin.com/in/dmanning/,,,
9/29,CTO referred me to CEO Alex,hiya Inc,"Seattle, WA",2016,51-200,"With a mission to provide a better phone experience, Hiya's products and services provide users with the context needed to help them decide whether or not to pick up their phone. Through analysis of more than 13 billion calls per month, Hiya protects over 100 million users from unwanted scam and nuisance calls globally. ","Caller ID, Scam Protection, Mobile, Internet, Big Data, Machine Learning, AI, Mobile Apps, Scala, Kotlin, iOS, Java, Elastic Search, Swift i Android",Marcelo Calbucci,45-50,2,https://www.linkedin.com/in/marcelocalbucci/,https://github.com/calbucci,,Alex Algard,45-50,4,https://www.linkedin.com/in/alexalgard/,,,
9/29,,Holler,New York,2011,11-50,"Holler creates and delivers useful, entertaining, expressive, branded and original visual content that adds texture and emotion to messaging environments.","Mobile Messaging, Publisher Solutions, Sentiment Analysis, Big Data, Advertising Technology i Content Development",David Brady,50-60,2,https://www.linkedin.com/in/davidebrady/,,,Travis Montaque,27,9,https://www.linkedin.com/in/travismontaque/,,,
,,IHeart radio,"New York, New York",2011,51-200,"iHeartRadio, iHeartMedia’s digital radio platform, is the No. 1 all-in-one digital audio service with over a billion downloads. iHeartRadio lets you listen to thousands of live radio stations from across the country, custom stations from a catalog of millions of songs and millions of artists, and on-demand podcasts. ","Streaming Music (live and custom), Concerts, Podcasts, Radio, Events i Music Festivals",Laurent Vauthrin,40-45,8,https://www.linkedin.com/in/laurent-vauthrin-72922927/,https://github.com/lvauthrin,,Bob Pittman,66,7,https://www.linkedin.com/in/bob-pittman/,szukają osób ze Scalą :) -> https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6653096270695067648/ ,,
9/26,,Instrumental Inc.,"Palo Alto, California",2015,11-50,"Instrumental is a Manufacturing Optimization System, designed for rapid adoption by engineering and operations teams to provide tangible improvements to yield, uptime, throughput, efficiency, time to market, and end user delight.  ","quality, industry40, artificial intelligence, machine learning, manufacturing, manufacturing software, consumer electronics, medical devices, automotive electronics, inspection, data analytics, big data i iiot",Samuel Weiss,30-35,5,https://www.linkedin.com/in/samuelbweiss/,,,Anna-Katrina Shedletsky,30-35,5.5,https://www.linkedin.com/in/annakatrinashedletsky/,,,
9/29,,Integral Ad Science,"New York, New York",2009,501-1000,"Integral Ad Science is a global technology company that offers data and solutions to establish a safer, more effective advertising ecosystem. We partner with advertisers and publishers to protect their investments, capture consumer attention, and drive business impact.","Media quality, Digital fraud detection and blocking, Ad verification, Ad viewability, Advertising data i Consumer Exposure",Anthony Lucia,50-55,1,https://www.linkedin.com/in/tonylucia/,,,Lisa Utzschneider,45-50,1,https://www.linkedin.com/in/lisa-utzschneider-43345ba/,,,
,,Jalgos,"Paris, Île-de-France",2013,11-50,Jalgos is a startup specialized in artificial intelligence (A.I.) and data science. ,"Artificial Intelligence, Big data, Algorithm design, Data strategy, Data science, data scientist, machine learning i intelligence artificielle",Ivan Diachenko,35-40,1.5,https://www.linkedin.com/in/ivan-diachenko,,,Julien Muresianu,35-40,7,https://www.linkedin.com/in/julienmu/,,,
9/1,,JLL,"Chicago, Illinois",1783,10 001+ ,professional services firm that specializes in real estate and investment management.,"tenant representation, real estate, property, financial services, investment, corporate solutions, capital markets, outsourcing, commercial property i sustainability",Paul Wicks,45-50,1,https://www.linkedin.com/in/paul-wicks-1495853/,,,Christian Ulbrich,53,3.75,https://www.linkedin.com/in/christian-ulbrich-684ba189/?originalSubdomain=de,,,
9/29,,Koddi,"Fort Worth, TX",2013,51-200,Koddi is a cloud provider of marketing technology for advertisers in the travel industry. ,"Digital Marketing, Technology, Metasearch, Advertising Tech, Travel Tech, Facebook Advertising, Travel Ads, Data i Travel",Mitch Berg,55-60,0.15,https://www.linkedin.com/in/mtberg/,,,George Popstefanov,35-40,7.5,https://www.linkedin.com/in/george-popstefanov-9188404/,,,
9/29,,Lendsmart,New York,2018,2-10,AI-driven digital lending platform coupled with a home buying marketplace. Lendsmart streamlines and optimizes customer onboarding & engagement via a centralized platform. Through a suite of APIs & AI we automate today’s manual processes and minimize risk and underwrite a borrower within 10 minutes.,,Kishore kumar Neelamegam,45-50,2,https://www.linkedin.com/in/kishorekumarneelamegam/,,,AK Patel,35-40,2,https://www.linkedin.com/in/akpatellendsmartai/,,,
,,Logic Keepers,"Frisco, TX",2015,2-10,"We offer our clients Solution Architecture guidance and support. We create digital advantage by designing secure, responsive, resilient, scalable & elastic solutions","Emerging Technologies, Open Source, API Management, Software Development, Reactive Programming, Play Framework, Custom Software, Loyalty Programs, Order Management, Automation, Integration, Software Security, Workflow Improvement, Software Consulting, Custom Software Development, Custom Apps, Software, Digital Transformation, Enterprise Architecture i application security",Mark Makary,45-50,5,https://www.linkedin.com/in/mark-makary-lk/,,,<- chyba też on,,,,,,
